Genre,Color
Lounge House,#FFA07A
Lovers Rock,#FF4500
Lowercase,#D8C026
Luk Thung,#26D8A0
Madchester,#265BD8
Maghreb,#D8C026
Magyar,#264FD8
Makossa,#A9D826
Malagasy Folk,#DAA520
Malaysian Pop,#FFC300
Mallet,#2FD826
Mambo,#26D8C0
Mande Pop,#FFC300
Mandopop,#FFC300
Manele,#7326D8
Marching Band,#D826CC
Mariachi,#D8269A
Martial Industrial,#26D873
Mashup,#D88226
Math Pop,#FFC300
Math Rock,#FF4500
Mathcore,#D8CF26
Mbalax,#2649D8
Medieval,#26B2D8
Medieval Rock,#FF4500
Meditation,#D2D826
Melancholia,#26D85B
Melbourne Bounce,#26D82C
Mellow Gold,#D226D8
Melodic Death Metal,#555555
Melodic Hard Rock,#FF4500
Melodic Hardcore,#26D88E
Melodic Metalcore,#555555
Melodic Power Metal,#555555
Melodic Progressive Metal,#555555
Memphis Blues,#1E90FF
Memphis Hip Hop,#9400D3
Memphis Soul,#9932CC
Merengue,#D826D5
Merengue Urbano,#2649D8
Merseybeat,#D83B26
Metal,#555555
Metalcore,#555555
Metropopolis,#FFC300
Mexican Indie,#FF69B4
Mexican Rock-and-roll,#FF4500
Mexican Son,#D8B526
Mexican Traditional,#D8AC26
Miami Bass,#3ED826
Michigan Indie,#FF69B4
Microhouse,#FFA07A
Military Band,#AC26D8
Minimal,#2644D8
Minimal Dub,#D8BB26
Minimal Dubstep,#4626D8
Minimal Melodic Techno,#00FFFF
Minimal Tech House,#FFA07A
Minimal Techno,#00FFFF
Minimal Wave,#26B2D8
Mizrahi,#26D8BD
Mod Revival,#26ACD8
Modern Blues,#1E90FF
Modern Classical,#ADD8E6
Modern Country Rock,#FF4500
Modern Downshift,#2649D8
Modern Free Jazz,#8A2BE2
Modern Performance,#2F26D8
Modern Southern Rock,#FF4500
Modern Uplift,#88D826
Monastic,#26D5D8
Moombahton,#D82649
Morna,#26D8C3
Motivation,#D826C0
Motown,#D83826
Movie Tunes,#D84126
Mpb,#D826C9
Musica Para Ninos,#D8268B
Musiikkia Lapsille,#D8267C
Musique Concrete,#D826D2
Musique Pour Enfants,#D8264C
Muziek Voor Kinderen,#5526D8
Nasheed,#267FD8
Nashville Sound,#8226D8
Native American,#CC26D8
Necrogrind,#D82658
Neo Classical Metal,#ADD8E6
Neo Honky Tonk,#6AD826
Neo Mellow,#D82697
Neo Metal,#555555
Neo Soul,#9932CC
Neo Soul-jazz,#8A2BE2
Neo-industrial Rock,#FF4500
Neo-pagan,#26D84F
Neo-progressive,#26D82C
Neo-psychedelic,#5826D8
Neo-rockabilly,#FF4500
Neo-singer-songwriter,#2926D8
Neo-synthpop,#FFC300
Neo-trad Metal,#555555
Neo-traditional Country,#D2691E
Neoclassical,#ADD8E6
Neofolk,#DAA520
Nepali,#268ED8
Nerdcore,#D89D26
Neue Deutsche Harte,#D826A9
Neue Deutsche Welle,#2626D8
Neurofunk,#8B4513
Neurostep,#A3D826
New Age,#D82926
New Age Piano,#D87326
New Americana,#26D841
New Beat,#3E26D8
New Jack Smooth,#D82688
New Jack Swing,#64D826
New Orleans Blues,#1E90FF
New Orleans Jazz,#8A2BE2
New Rave,#9DD826
New Romantic,#2926D8
New Tribe,#BA26D8
New Wave,#D2D826
New Wave Pop,#FFC300
New Weird America,#D82697
Ninja,#D82641
Nintendocore,#26D82C
Nl Folk,#DAA520
No Wave,#26D82C
Noise,#D826CF
Noise Pop,#FFC300
Noise Punk,#FF0000
Noise Rock,#FF4500
Nordic Folk,#DAA520
Nordic House,#FFA07A
Norteno,#38D826
Northern Irish Indie,#FF69B4
Northern Soul,#9932CC
Norwegian Gospel,#267CD8
Norwegian Hip Hop,#9400D3
Norwegian Jazz,#8A2BE2
Norwegian Metal,#555555
Norwegian Pop,#FFC300
Norwegian Punk,#FF0000
Norwegian Rock,#FF4500
Nu Age,#4126D8
Nu Disco,#26D838
Nu Electro,#4126D8
Nu Gaze,#26B5D8
Nu Jazz,#8A2BE2
Nu Metal,#555555
Nu Skool Breaks,#D82626
Nu-cumbia,#A926D8
Nueva Cancion,#4626D8
Nursery,#26D82F
Nwobhm,#D826B5
Nwothm,#B2D826
Nz Indie,#FF69B4
Oi,#D82682
Old School Hip Hop,#9400D3
Old-time,#2649D8
Opera,#268ED8
Operatic Pop,#FFC300
Opm,#2629D8
